City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
25,Dikson,RU,2021-05-30 05:37:05,73.5069,80.5464,30.69,80,84,7.14
26,Abu Kamal,SY,2021-05-30 05:37:05,34.4506,40.9171,81.93,29,1,10.51
27,Port Elizabeth,ZA,2021-05-30 05:37:06,-33.918,25.5701,55.09,100,0,3.44
28,Hithadhoo,MV,2021-05-30 05:37:06,-0.6,73.0833,83.55,72,69,17.07
29,Shenjiamen,CN,2021-05-30 05:37:06,29.9576,122.298,70.75,86,66,11.63
30,Oistins,BB,2021-05-30 05:37:06,13.0667,-59.5333,80.69,65,40,23.02
31,Punta Arenas,CL,2021-05-30 05:36:31,-53.15,-70.9167,32.11,74,40,11.99
32,Pisco,PE,2021-05-30 05:37:07,-13.7,-76.2167,66.02,94,90,5.75
33,Kapaa,US,2021-05-30 05:32:47,22.0752,-159.319,80.58,72,90,6.73
34,Puerto Ayora,EC,2021-05-30 05:37:07,-0.7393,-90.3518,73.54,90,31,4.0
35,Mansa,IN,2021-05-30 05:37:07,29.9833,75.3833,103.33,25,1,9.71
36,Ibipora,BR,2021-05-30 05:37:07,-23.2692,-51.0481,70.52,83,0,2.66
37,Metu,ET,2021-05-30 05:37:08,8.3,35.5833,69.1,60,4,2.3
38,Aklavik,CA,2021-05-30 05:37:08,68.2191,-135.0107,34.52,68,96,4.5
39,Kavaratti,IN,2021-05-30 05:37:08,10.5669,72.642,83.48,75,100,18.3
40,Klaksvik,FO,2021-05-30 05:37:08,62.2266,-6.589,45.52,86,96,13.69
41,Pokhara,NP,2021-05-30 05:37:09,28.2333,83.9833,82.26,58,33,5.21
42,Mezen,RU,2021-05-30 05:37:09,65.8522,44.24,39.38,62,98,13.04
43,Isabela,PH,2021-05-30 05:37:09,6.7085,121.9711,87.85,67,74,10.33
44,Qaanaaq,GL,2021-05-30 05:37:09,77.484,-69.3632,28.4,91,98,1.79
45,Hermanus,ZA,2021-05-30 05:37:10,-34.4187,19.2345,53.91,79,81,4.05
46,Mahebourg,MU,2021-05-30 05:37:10,-20.4081,57.7,80.26,78,40,11.5
47,Avarua,CK,2021-05-30 05:37:10,-21.2078,-159.775,73.45,68,40,4.61
48,Chabahar,IR,2021-05-30 05:37:10,25.2919,60.643,90.81,54,20,6.46
49,Victoria,HK,2021-05-30 05:32:46,22.2855,114.1577,91.38,78,100,11.99
50,Ponta Do Sol,PT,2021-05-30 05:37:11,32.6667,-17.1,67.12,73,60,6.13
51,Panama City,PA,2021-05-30 05:37:11,8.9936,-79.5197,77.13,92,75,1.14
52,Hirara,JP,2021-05-30 05:37:11,24.8,125.2833,82.26,83,75,12.66
53,Lompoc,US,2021-05-30 05:37:11,34.6391,-120.4579,59.25,81,90,11.5
54,Narsaq,GL,2021-05-30 05:37:12,60.9167,-46.05,37.62,99,100,2.28
55,Tubuala,PA,2021-05-30 05:37:12,9.5167,-79.0333,76.33,86,98,2.71
56,Geraldton,AU,2021-05-30 05:37:12,-28.7667,114.6,66.61,72,75,21.27
57,Vila Franca Do Campo,PT,2021-05-30 05:37:12,37.7167,-25.4333,61.21,87,44,6.85
58,Juneau,US,2021-05-30 05:37:13,58.3019,-134.4197,51.8,87,75,1.99
59,Terrace,CA,2021-05-30 05:37:13,54.5163,-128.6035,57.11,54,90,5.75
60,Tuktoyaktuk,CA,2021-05-30 05:37:13,69.4541,-133.0374,30.2,86,90,3.44
61,Barrow,US,2021-05-30 05:37:13,71.2906,-156.7887,28.42,93,90,9.22
