City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
423,San Martin,-33.081,-68.4681,54.14,57,19,8.03,AR,few clouds,2021-06-06 03:18:15
424,Cheremushskiy,61.2731,47.2636,66.27,57,10,2.8,RU,clear sky,2021-06-06 03:18:16
425,Mahon,39.8885,4.2658,64.96,94,0,8.05,ES,light rain,2021-06-06 03:18:16
426,Koungheul,13.9833,-14.8,82.65,57,16,12.5,SN,few clouds,2021-06-06 03:18:16
427,Snasa,64.2457,12.3778,56.86,71,62,2.24,NO,broken clouds,2021-06-06 03:18:16
428,Porto Walter,-8.2686,-72.7439,72.45,93,63,2.44,BR,broken clouds,2021-06-06 03:18:17
429,Bejar,40.3864,-5.7634,55.58,71,0,1.36,ES,clear sky,2021-06-06 03:18:17
430,Erenhot,43.6475,111.9767,75.61,19,98,22.93,CN,moderate rain,2021-06-06 03:18:17
431,Kitahiroshima,42.9758,141.5672,78.66,32,1,7.0,JP,clear sky,2021-06-06 03:18:17
432,Letpadan,17.7833,95.75,92.75,50,80,10.27,MM,broken clouds,2021-06-06 03:18:18
433,Saldanha,-33.0117,17.9442,66.0,34,36,19.75,ZA,scattered clouds,2021-06-06 03:18:18
434,Kavaratti,10.5669,72.642,82.87,76,100,13.96,IN,overcast clouds,2021-06-06 03:18:18
435,Vinh,18.6667,105.6667,83.28,76,100,3.49,VN,overcast clouds,2021-06-06 03:18:18
436,Alexandria,31.2156,29.9553,70.16,61,0,12.41,EG,clear sky,2021-06-06 03:14:22
437,Coxim,-18.5067,-54.76,72.68,40,100,4.03,BR,overcast clouds,2021-06-06 03:18:19
438,Aketi,2.7388,23.7833,70.18,100,100,2.82,CD,light rain,2021-06-06 03:18:19
439,Touros,-5.1989,-35.4608,74.3,87,45,11.07,BR,scattered clouds,2021-06-06 03:18:19
440,Pacific Grove,36.6177,-121.9166,68.16,82,90,5.01,US,overcast clouds,2021-06-06 03:15:21
441,Gersthofen,48.4167,10.8833,58.68,91,90,11.5,DE,light rain,2021-06-06 03:18:19
442,Faya,18.3851,42.4509,66.72,56,0,2.08,SA,clear sky,2021-06-06 03:13:56
443,Mehamn,71.0357,27.8492,41.32,79,13,19.75,NO,few clouds,2021-06-06 03:14:41
444,Maraa,-1.8333,-65.3667,73.78,96,84,2.59,BR,broken clouds,2021-06-06 03:18:20
445,Bonthe,7.5264,-12.505,79.65,82,97,5.75,SL,overcast clouds,2021-06-06 03:16:30
446,Vila,42.0304,-8.1588,50.74,85,0,3.8,PT,clear sky,2021-06-06 03:14:58
447,Quatre Cocos,-20.2078,57.7625,70.09,81,46,1.86,MU,scattered clouds,2021-06-06 03:08:30
448,Lorengau,-2.0226,147.2712,80.11,84,100,9.62,PG,overcast clouds,2021-06-06 03:13:57
449,Slave Lake,55.2834,-114.769,56.79,56,7,6.76,CA,clear sky,2021-06-06 03:15:13
450,Constitucion,-35.3333,-72.4167,49.91,63,100,5.41,CL,overcast clouds,2021-06-06 03:14:10
451,Bhimunipatnam,17.8833,83.4333,89.11,62,24,13.02,IN,few clouds,2021-06-06 03:18:20
452,Arlit,18.7369,7.3853,87.28,16,34,2.39,NE,scattered clouds,2021-06-06 03:18:20
453,Lata,40.1629,-8.3327,59.81,89,0,1.21,PT,clear sky,2021-06-06 03:18:21
454,Verkhoyansk,67.5447,133.385,53.47,40,100,8.52,RU,overcast clouds,2021-06-06 03:18:21
455,Nouadhibou,20.931,-17.0347,65.86,80,29,20.54,MR,scattered clouds,2021-06-06 03:14:47
456,Galle,6.0367,80.217,82.6,78,91,10.56,LK,overcast clouds,2021-06-06 03:15:08
457,Chertkovo,49.3847,40.1547,54.68,96,100,6.22,RU,moderate rain,2021-06-06 03:18:21
458,Neon Karlovasion,37.7903,26.7044,68.9,63,0,11.5,GR,clear sky,2021-06-06 03:18:22
459,Botshabelo,-29.2702,26.7052,25.97,50,0,6.85,ZA,clear sky,2021-06-06 03:18:22
460,Hayden,47.766,-116.7866,63.16,34,1,12.66,US,clear sky,2021-06-06 03:18:22
461,Kargasok,59.0556,80.8572,62.02,53,98,6.78,RU,overcast clouds,2021-06-06 03:18:22
462,Bereda,43.2686,-7.5406,56.91,100,92,4.45,ES,overcast clouds,2021-06-06 03:18:23
463,Vanimo,-2.6741,141.3028,84.34,69,83,4.85,PG,broken clouds,2021-06-06 03:14:16
464,Morros,-9.4467,-46.3003,73.44,51,85,5.12,BR,overcast clouds,2021-06-06 03:18:23
465,Shaunavon,49.6501,-108.4181,60.58,28,62,17.54,CA,broken clouds,2021-06-06 03:18:23
466,Lompoc,34.6391,-120.4579,64.38,82,90,10.36,US,overcast clouds,2021-06-06 03:14:56
467,Lahij,13.1667,44.5833,83.77,44,9,1.74,YE,clear sky,2021-06-06 03:18:23
468,Abu Samrah,35.3029,37.1841,64.45,60,0,6.73,SY,clear sky,2021-06-06 03:08:11
469,Loa Janan,-0.583,117.095,87.42,65,39,3.65,ID,moderate rain,2021-06-06 03:18:24
470,Beyneu,45.3167,55.2,75.06,25,100,10.65,KZ,overcast clouds,2021-06-06 03:16:02
471,Alofi,-19.0595,-169.9187,76.89,69,38,12.66,NU,scattered clouds,2021-06-06 03:18:24
472,Mizur,42.8531,44.0531,49.8,77,37,1.61,RU,scattered clouds,2021-06-06 03:18:24
473,Shenjiamen,29.9576,122.298,72.39,72,45,11.48,CN,scattered clouds,2021-06-06 03:18:24
474,Houma,29.5958,-90.7195,78.01,87,75,12.66,US,broken clouds,2021-06-06 03:15:49
475,Charters Towers,-20.1,146.2667,71.58,31,74,9.55,AU,broken clouds,2021-06-06 03:18:25
476,Kieta,-6.2167,155.6333,86.11,69,5,8.12,PG,clear sky,2021-06-06 03:18:25
477,Khorixas,-20.3667,14.9667,58.08,32,0,20.71,NA,clear sky,2021-06-06 03:18:25
478,Kijang,35.2442,129.2139,78.53,67,2,15.01,KR,clear sky,2021-06-06 03:17:56
479,Yambio,4.5721,28.3955,65.21,99,100,3.56,SS,light rain,2021-06-06 03:18:25
480,Salvador,13.8333,-88.9167,76.05,94,89,1.39,SV,overcast clouds,2021-06-06 03:15:05
481,Avdon,54.6667,55.7167,54.72,81,0,4.94,RU,clear sky,2021-06-06 03:18:26
482,Antibes,43.5624,7.1278,63.88,87,75,9.95,FR,broken clouds,2021-06-06 03:18:26
483,Renqiu,38.6989,116.0936,91.69,14,68,5.99,CN,broken clouds,2021-06-06 03:18:26
484,Dunhua,43.3725,128.2425,60.78,70,92,7.47,CN,overcast clouds,2021-06-06 03:18:27
485,Alihe,50.5667,123.7167,74.59,23,0,1.34,CN,clear sky,2021-06-06 03:18:27
486,San Agustin,20.5333,-103.4667,72.72,55,75,4.56,MX,broken clouds,2021-06-06 03:18:27
487,Concarneau,47.875,-3.9225,57.97,87,33,2.95,FR,scattered clouds,2021-06-06 03:18:27
488,Tomatlan,19.9333,-105.25,79.74,72,97,2.95,MX,overcast clouds,2021-06-06 03:18:27
489,Tam Ky,15.5667,108.4833,96.78,48,99,3.62,VN,overcast clouds,2021-06-06 03:18:28
490,Abalak,58.1286,68.5944,66.83,46,25,11.61,RU,scattered clouds,2021-06-06 03:18:28
491,Lasa,46.6166,10.7002,54.63,96,100,5.06,IT,overcast clouds,2021-06-06 03:13:51
492,Iquique,-20.2208,-70.1431,60.84,80,12,3.69,CL,few clouds,2021-06-06 03:18:28
493,Artyom,40.4723,50.333,69.94,84,1,26.87,AZ,clear sky,2021-06-06 03:18:29
494,Samarai,-10.6167,150.6667,79.3,84,88,16.75,PG,overcast clouds,2021-06-06 03:18:29
495,Sept-Iles,50.2001,-66.3821,52.32,84,20,1.01,CA,few clouds,2021-06-06 03:18:29
496,Bathsheba,13.2167,-59.5167,81.21,65,40,16.62,BB,scattered clouds,2021-06-06 03:18:29
497,Kingisepp,59.3733,28.6134,57.56,68,89,1.95,RU,overcast clouds,2021-06-06 03:18:30
498,Sangareddi,17.6294,78.0917,79.09,67,86,6.02,IN,overcast clouds,2021-06-06 03:18:30
499,Mogadishu,2.0371,45.3438,78.85,83,62,14.38,SO,broken clouds,2021-06-06 03:18:30
500,Adrar,20.5022,-10.0711,87.78,12,11,21.32,MR,few clouds,2021-06-06 03:18:30
501,Inuvik,68.3499,-133.7218,47.16,53,20,10.16,CA,few clouds,2021-06-06 03:18:31
502,Salta,-24.7859,-65.4117,61.09,76,40,1.99,AR,scattered clouds,2021-06-06 03:18:31
503,Amga,60.8953,131.9608,81.27,31,98,6.89,RU,overcast clouds,2021-06-06 03:18:31
504,College,64.8569,-147.8028,72.59,40,75,10.36,US,broken clouds,2021-06-06 03:14:31
505,Pakokku,21.3333,95.1,92.07,51,67,9.17,MM,broken clouds,2021-06-06 03:18:31
506,Waldoboro,44.0954,-69.3756,75.69,97,98,8.81,US,overcast clouds,2021-06-06 03:18:32
507,La Canada,20.6167,-100.3167,73.18,49,90,4.0,MX,overcast clouds,2021-06-06 03:18:32
508,Sinnamary,5.3833,-52.95,77.97,89,93,7.94,GF,overcast clouds,2021-06-06 03:16:05
509,Bouloupari,-21.8667,166.05,76.95,63,100,11.54,NC,overcast clouds,2021-06-06 03:18:32
510,Tefe,-3.3542,-64.7114,74.1,93,99,2.51,BR,heavy intensity rain,2021-06-06 03:18:32
511,Tilichiki,60.4667,166.1,47.86,73,100,7.2,RU,overcast clouds,2021-06-06 03:15:13
512,Belmonte,-15.8631,-38.8828,73.9,88,50,7.87,BR,scattered clouds,2021-06-06 03:10:26
513,Hervey Bay,-25.2986,152.8535,73.51,57,7,4.0,AU,clear sky,2021-06-06 03:18:33
514,Panguna,-6.3164,155.4848,82.02,65,23,2.64,PG,light rain,2021-06-06 03:18:33
515,Tambura,5.6,27.4667,67.1,99,100,5.41,SS,overcast clouds,2021-06-06 03:18:33
516,Prince Rupert,54.3161,-130.3201,47.19,90,100,7.83,CA,light rain,2021-06-06 03:15:13
517,Gallipoli,40.4103,26.6708,55.26,57,0,2.66,TR,clear sky,2021-06-06 03:18:33
