City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
124,Hithadhoo,-0.6,73.0833,83.55,71,82,11.86,MV,broken clouds,2021-06-06 15:46:37
125,Port Lincoln,-34.7333,135.8667,58.78,60,66,16.13,AU,broken clouds,2021-06-06 15:46:37
126,Tiksi,71.6872,128.8694,42.12,69,85,8.25,RU,overcast clouds,2021-06-06 15:46:37
127,Zhigansk,66.7697,123.3711,47.66,42,37,7.72,RU,scattered clouds,2021-06-06 15:46:37
128,Baruun-Urt,46.6806,113.2792,65.61,35,98,3.47,MN,overcast clouds,2021-06-06 15:46:38
129,Barrow,71.2906,-156.7887,30.22,93,90,10.36,US,mist,2021-06-06 15:46:38
130,Mataura,-46.1927,168.8643,44.06,86,99,2.08,NZ,overcast clouds,2021-06-06 15:46:38
131,Mackay,-21.15,149.2,62.58,82,40,8.05,AU,scattered clouds,2021-06-06 15:46:38
132,Casa Nova,-9.4167,-41.1333,84.18,37,45,15.08,BR,scattered clouds,2021-06-06 15:46:39
133,Cleveland,41.4995,-81.6954,85.71,55,1,6.91,US,clear sky,2021-06-06 15:46:39
134,Kisangani,0.5167,25.2,73.76,88,75,2.3,CD,moderate rain,2021-06-06 15:46:39
135,Coihueco,-36.6167,-71.8333,45.34,93,90,1.81,CL,overcast clouds,2021-06-06 15:46:39
136,Bathsheba,13.2167,-59.5167,88.41,55,40,18.25,BB,scattered clouds,2021-06-06 15:46:40
137,Souillac,-20.5167,57.5167,74.35,88,40,9.8,MU,light rain,2021-06-06 15:46:40
138,Saskylakh,71.9167,114.0833,37.18,67,96,6.04,RU,overcast clouds,2021-06-06 15:43:50
139,Norrtalje,59.758,18.705,77.09,36,100,6.04,SE,overcast clouds,2021-06-06 15:46:40
140,Fortuna,40.5982,-124.1573,57.92,72,40,5.99,US,scattered clouds,2021-06-06 15:46:40
141,Areia Branca,-4.9561,-37.1369,91.6,57,51,13.22,BR,broken clouds,2021-06-06 15:46:41
142,Isangel,-19.55,169.2667,71.62,68,100,12.68,VU,overcast clouds,2021-06-06 15:46:41
143,Kapaa,22.0752,-159.319,75.52,84,90,1.99,US,light rain,2021-06-06 15:43:27
